COMPLAINT ID,COMPLAINT TYPE,ADDRESS,Neighborhood,STREET NUMBER FROM,STREET NUMBER TO,DIRECTION,STREET NAME,STREET TYPE,INSPECTOR,COMPLAINT DATE,COMPLAINT DETAIL,INSPECTION LOG,DATA SOURCE,Modified Date,LATITUDE,LONGITUDE,LOCATION
DOECOMP13008,Air Pollution Work Order,"2701 E 100TH ST, CHICAGO, IL",Jeffrey Manor,2701,,E,100TH,ST,27,01/13/2010,AGRI FINE                           PUTRID SMELL FROM ANIMAL BY PRODUCT COMING FROM FACILITY. CONTACTED THE COMPLAINANT ABOUT OUR ATTEMPT TO CONTROL THE ODOR PROBLEM AT THE FACILITY. INFORMED HER THAT TODAY WE COULD NOT VALIDATE HER WE WILL CONTINUE TO MONITOR FACILITY.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
DOECOMP13009,Air Pollution Work Order,"2701 E 100TH ST, CHICAGO, IL",Jeffrey Manor,2701,,E,100TH,ST,27,01/26/2010,AGRI FINE                           CALLER STATES THAT STRONG ODORS COMING FROM FACILITY MAKING COMPLAINANT SICK. CONDUCT A PERIMTER INSPECTION OF FACILITY AND DID NOT NOTE ANY ODOR. I WAS ALSO JOINED BY ANOTHER DOE ENGINEER WHO MET ME AT 100TH TORRENCE ON OUR WAY TO A JOINT INSPECTION OF IMPERIAL ZINC. 1031 E 103RD ST. COMPLAINT COULD NOT BE VALIDATED. LEFT A MESSAGE (VOICE) TO THE COMPLAINANT AT 3:12 PM.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
DOECOMP36756,Air Pollution Work Order,"2701 E 100TH ST, CHICAGO, IL",Jeffrey Manor,2701,,E,100TH,ST,77,03/16/2010,AGRI FINE                           CALLER STATES VERY STRONG SULFUR ODORS COMING FROM FACILITY. EXCESSIVE ODOR IMPACTING THE NEIGHBORHOOD DOWN WIND OF THE FACILITY. RESPONDENT CAUSED AIR POLLUTION AND ODOR NUISANCE TO THE PUBLIC AND IN CONNECTION WITH BUSINESS.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
DOECOMP13010,Air Pollution Work Order,"2701 E 100TH ST, CHICAGO, IL",Jeffrey Manor,2701,,E,100TH,ST,69,04/02/2010,AGRI FINE                           BAD TERRIBLE SMELL COMING FROM FACILITY. RESPONDENT CAUSED AND ALLOWED AIR POLLUTION (STRONG FOUL ODORS TO MIGRATE INTO RESIDENTIAL AREAS) FROM FACILITY OPERATIONS.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
DOECOMP13011,Air Pollution Work Order,"2701 E 100TH ST, CHICAGO, IL",Jeffrey Manor,2701,,E,100TH,ST,77,04/06/2010,AGRI FINE                           CALLER STATES THAT VERY STRONG ANIMAL ODORS COMING FROM FACILITY. RESPONDENT CAUSED AIR POLLUTION. AIR POLLUTION ACTIVITY CAUSED AN ODOR NUISANCE TO THE PUBLIC AND IN CONNECTION WITH BUSINESS. EXCESSIVE FOUL ODOR EMITTING FROM FACILTIY.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
DOECOMP13012,Air Pollution Work Order,"2701 E 100TH ST, CHICAGO, IL",Jeffrey Manor,2701,,E,100TH,ST,77,07/13/2010,AGRI FINE                           CALLER STATES THAT AN AWFU; ODOR THAT BEEN GOING ON APPRX 3 MONTHS. EVIDENCE OF FOUL ODOR EMITTING FROM ANOTHER FACILITY NEAR BY.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
DOECOMP13013,Air Pollution Work Order,"2701 E 100TH ST, CHICAGO, IL",Jeffrey Manor,2701,,E,100TH,ST,82,08/26/2010,AGRI FINE                           CALLER STATES THAT VERY STRONG ODOR COMING FROM FACILITY. I DETECTED STRONG FOL ODORS IN THE AIR AT THE TIME OF INSPECTION. THE FACILITY IS IN VIOLATION OF THE MUNICIPAL CODE 7-28-080.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
DOECOMP16541,Air Pollution Work Order,"3259 E 100TH ST, CHICAGO, IL",Vet's Park,3259,,E,100TH,ST,122,10/28/2010,KCBX                                COAL BLOWING OFF SITE. OBSERVED NO DUST AT THE TIME OF INSPECTION.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
DOECOMP13045,Air Pollution Work Order,"2701 E 100TH ST, CHICAGO, IL",Jeffrey Manor,2701,,E,100TH,ST,35,11/19/2010,AGRI FINE                           FOUL ODORS BEING EMITTED FROM FACILITY MAKING CHILDREN SICK. FACILITY IS OPERTING NORMALLY AND NO PROBLEMS WITH THE SCRUBBER HAVE BEEN NOTED. OBSERVED ODORS WERE PERMEATING COMING FROM THE LARGE STORAGE TANKS.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
DOECOMP14100,Air Pollution Work Order,"2900 E 106TH ST, CHICAGO, IL",Trumbull Park,2900,,E,106TH,ST,77,09/09/2010,BEEMSTERBOER                        CALLER STATES THAT LOTS OF DUST COMING FROM FACILITY. EXCESSIVE DUST EMISSION AND TRACK OUT FROM THE FACILITY TO THE PUBLIC WAY.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
DOECOMP14101,Air Pollution Work Order,"2900 E 106TH ST, CHICAGO, IL",Trumbull Park,2900,,E,106TH,ST,122,10/28/2010,BEEMSTERBOER                        DUST BLOWING OFF SITE. RESPONDENT CAUSED A NUISANCE IN CONNECTION WITH A BUSINESS. ALSO FAILED TO CONTROL TRACK OUT.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
DOECOMP29999,Air Pollution Work Order,"700 E 107TH ST, CHICAGO, IL",Pullman,700,,E,107TH,ST,77,08/31/2010,DA BECCA                            CALLER STATES THAT VERY STRONG SMOKE AND ODORS COMING FROM FACILITY. EXCESSIVE SMOKE WAS CAUSE DUE TO A LEAKING OVER. REFERRED TO AIR GROUP.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
DOECOMP29998,Air Pollution Work Order,"700 E 107TH ST, CHICAGO, IL",Pullman,700,,E,107TH,ST,122,08/31/2010,DUTCH FARMS                         VERY STRONG CHEMICAL ODORS COMING FROM FACILITY.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
DOECOMP30000,Air Pollution Work Order,"700 E 107TH ST, CHICAGO, IL",Pullman,700,,E,107TH,ST,82,09/23/2010,DA BECCA                            CALLER STATES THAT STRONG FUMES AND ODORS COMING FROM FACILITY. RESPONDENT CAUSED OR ALLOWED THE EMISSION OF SMOKE HOUSE WITH AN OPACTIY OVER 30% INTO THE AIR. RESPONDENT CAUSED OR ALLOWED POLLUTED PLUME INTO THE ATMOSPHERE FROM SMOKE HOUSE.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
DOECOMP8772,Air Pollution Work Order,"2019 W 111TH ST, CHICAGO, IL",Morgan Park,2019,,W,111TH,ST,122,12/21/2010,CALLER STATES THAT STRONG ODORS POSSIBLE COMING FROM SEWERS. OBSERVED NO ODORS AT THE TIME OF INSPECTION.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
DOECOMP35901,Air Pollution Work Order,"2250 E 130TH ST, CHICAGO, IL",Hegewisch,2250,,E,130TH,ST,82,03/30/2010,LAFARGE                             CALLER STATES THAT FACILITY HAS SOMETHING PILING UP ON THE TOWER AND IT LOOKS LIKE SAND. OBSERVED A SMALL PILE OF SAND AND A WORKER USING THE SAND TO MAINTAIN ONE OF THE COMPONENT OF THE SILO.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
DOECOMP1379,Air Pollution Work Order,"1111 W 16TH ST, CHICAGO, IL",Lower West Side,1111,,W,16TH,ST,22,01/29/2010,AUTO REPAIR SHOP                    IT APPEARS THAT THEY ARE RUNNING A AUTO REPAIR SHOP. 10 CARS IN DEPRESSED LOT AT REAR. THIS IS A ABANDONED HOME.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
DOECOMP34719,Air Pollution Work Order,"1113 W 18TH ST, CHICAGO, IL",Lower West Side,1113,,W,18TH,ST,120,07/06/2010,MMT DEMOLITION                      SANDING LEAD PAINT OFF FIRE ESCAPE CAUSING DUST ALL OVER THE AREA. FOUND SANDBLASTING WITHOUT PERMIT AND COMPRESSED SPRAY PAINTING OVER DOORS. RESPONDENT FAILED TO OBTAIN PERMIT PRIOR TO SANDBLATING FIRE ESCAPE ON MIXED USE BLDG.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
DOECOMP10425,Air Pollution Work Order,"2212 W 21ST PL, CHICAGO, IL",Lower West Side,2212,,W,21ST,PL,81,03/02/2010,RESIDENTIAL BLDG.                   MERCURY SPILL. RESPONDED UNABLE TO GAIN ENTRY OR INTERVIEW COMPLAINANT. LEFT SPILL SHEET INFO IN MAIL BOX TO CONTACT DOE IF NEEDED.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
DOECOMP4151,Air Pollution Work Order,"1345 W 21ST ST, CHICAGO, IL",Lower West Side,1345,,W,21ST,ST,81,12/09/2010,H KRAMER                            SMOKE COMING FROM FACILITY AT NIGHT TIME. THIS INVESTIGATION DETECTED ONLY DISSIPATING STEAM EMANATING FROM THIS FACILITY EXHAUST EQUIPMENT. RAINING THIS VISIT,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
DOECOMP18718,Air Pollution Work Order,"3800 W 28TH ST, CHICAGO, IL",Little Village,3800,,W,28TH,ST,77,05/24/2010,PUBLIC WAY                          CALLER SAYS DUST CLOUDS ARE BEING EMITTED INTO AIR BY CONSTRCUTION COMPANY APPRX EQUIP NOT BEING USED TO SUPPRESS DUST AND DEBRIS.  PROJECT IMPROVMENT ROAD RESURFACING AFTER SEWER REPAIR.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
DOECOMP8993,Air Pollution Work Order,"2100 W 32ND ST, CHICAGO, IL",McKinley Park,2100,,W,32ND,ST,85,03/26/2010,RESIDENTIAL BLDG.                   ROOFING COMPANY IN RESIDENTIAL AREA AND THERE IS CONCERN ABOUT THE BURNING TAR. I CANVASSED THE AREA OBSERVED NO ROOFING COMPANY NEAR BY OR WORKING AT THE TIME OF INSPECTION.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
DOECOMP8994,Air Pollution Work Order,"2100 W 32ND ST, CHICAGO, IL",McKinley Park,2100,,W,32ND,ST,69,04/01/2010,JOE CARLONE                         ROOFING COMPANY BURNING TAR. OBSERVED NO ODORS AT THIS TIME.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
DOECOMP36581,Air Pollution Work Order,"2936 W 38TH ST, CHICAGO, IL",Brighton Park,2936,,W,38TH,ST,35,04/13/2010,ROMAR TRUCKING                      DIRT ROAD IN FRONT OF FACTORY CAUSES CONSISTANT DUST ALOS STRONG FUMES FROM TRUCKS IN THE AREA. OBSERVED NO TRUCK TRAFFIC CAUSING DUST EMISSIONS AT THIS TIME.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
DOECOMP2606,Air Pollution Work Order,"120 E 42ND ST, CHICAGO, IL",Bronzeville,120,128,E,42ND,ST,85,03/24/2010,ERIN TUCKPOINTING                   CALLER STATES THAT WORKERS ARE GRINDING (MORTAR) CAUSING DUST ALL OVER THE AREA. NO WORK SHALL BE PERFORMED WITHOUT OBTAINING PERMIT FOR GRINDING SANDBLASTING.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
DOECOMP36266,Air Pollution Work Order,"2005 W 43RD ST, CHICAGO, IL",Back of the Yards,2005,,W,43RD,ST,81,02/19/2010,WAREHOUSE                           SEVERAL TRUCKS IDLING ENGINES CAUSING STRONG FUMES. INVESTIGATION AT THIS LOCATION FOUND ONLY DETACHED TRAILERS POSITIONED IN THE WEST FENCED LOT. NO DIESEL TRUCKS WERE OBSERVED IN THE IMMEDIATE OR SURROUNDING AREAS AS REPORTED.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
DOECOMP29399,Air Pollution Work Order,"65 E 43RD ST, CHICAGO, IL",Bronzeville,65,,E,43RD,ST,81,12/27/2010,BBQ RESTAURANT                      SMOKE. THIS INVESTIGATION DETECTED NO EXCESSIVE SMOKE FROM THE FACILITY EXHAUST EQUIPMENT.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
DOECOMP37456,Air Pollution Work Order,"3535 W 47TH ST, CHICAGO, IL",Brighton Park,3535,,W,47TH,ST,81,07/07/2010,S K TOOLS                           CALLER STATES THAT FACILITY LEAVES OVERHEAD DOORS OPEN CREATING LOTS OF FUMES. ARRIVAL TO SITE FOUND THE FACILITY APPARENTLY CLOSED NO FUMES WERE DETECTED EMANATING FROM THE FACILITY. SECURITY GUARD SAID THAT HE WOULD GIVE MY BUSINESS CARD TO MANAGEMENT FOR THEM TO CONTACT DOE REGARDIN THE COMPLAINT.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
DOECOMP13949,Air Pollution Work Order,"2750 W 50TH ST, CHICAGO, IL",Gage Park,2750,,W,50TH,ST,85,02/25/2010,RESIDENTIAL BLDG.                   COMPANY BREAKING CONCRETE (OLD FLOORS AND FOUNDATION) CAUSING DUST ALL OVER THE AREA. OBSERVED NO DUST OR DEBRIS AT THE TIME OF INSPECTION.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
