,COMPLAINT ID,COMPLAINT TYPE,ADDRESS,Neighborhood,STREET NUMBER FROM,STREET NUMBER TO,DIRECTION,STREET NAME,STREET TYPE,INSPECTOR,COMPLAINT DATE,COMPLAINT DETAIL,INSPECTION LOG,DATA SOURCE,Modified Date,LATITUDE,LONGITUDE,LOCATION,Community Area Number,PERCENT OF HOUSING CROWDED,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 16+ UNEMPLOYED,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,PERCENT AGED UNDER 18 OR OVER 64,PER CAPITA INCOME ,HARDSHIP INDEX
0,DOECOMP29999,Air Pollution Work Order,"700 E 107TH ST, CHICAGO, IL",Pullman,700,,E,107TH,ST,77,08/31/2010,DA BECCA                            CALLER STATES THAT VERY STRONG SMOKE AND ODORS COMING FROM FACILITY. EXCESSIVE SMOKE WAS CAUSE DUE TO A LEAKING OVER. REFERRED TO AIR GROUP.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,,50.0,1.5,21.6,22.8,13.1,38.6,20588,51.0
1,DOECOMP29998,Air Pollution Work Order,"700 E 107TH ST, CHICAGO, IL",Pullman,700,,E,107TH,ST,122,08/31/2010,DUTCH FARMS                         VERY STRONG CHEMICAL ODORS COMING FROM FACILITY.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,,50.0,1.5,21.6,22.8,13.1,38.6,20588,51.0
2,DOECOMP30000,Air Pollution Work Order,"700 E 107TH ST, CHICAGO, IL",Pullman,700,,E,107TH,ST,82,09/23/2010,DA BECCA                            CALLER STATES THAT STRONG FUMES AND ODORS COMING FROM FACILITY. RESPONDENT CAUSED OR ALLOWED THE EMISSION OF SMOKE HOUSE WITH AN OPACTIY OVER 30% INTO THE AIR. RESPONDENT CAUSED OR ALLOWED POLLUTED PLUME INTO THE ATMOSPHERE FROM SMOKE HOUSE.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,,50.0,1.5,21.6,22.8,13.1,38.6,20588,51.0
3,DOECOMP1839,Air Pollution Work Order,"11436 S FORRESTVILLE AVE, CHICAGO, IL",Pullman,11436,,S,FORRESTVILLE,AVE,77,06/25/2010,CANADIAN NAT'L RAILROAD             INTENSE CRESOTE SMELL WITHIN ONE BLOCK RADIUS CAUSED BY NEW RAILROAD TIES STORED ON RAISED TRACK. ODOR PERMEATES HOUSES 100' FT AWAY AND LINGERS. OBSERVED NO ODORS AT THE TIME OF INSPECTION.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,,50.0,1.5,21.6,22.8,13.1,38.6,20588,51.0
4,DOECOMP8772,Air Pollution Work Order,"2019 W 111TH ST, CHICAGO, IL",Morgan Park,2019,,W,111TH,ST,122,12/21/2010,CALLER STATES THAT STRONG ODORS POSSIBLE COMING FROM SEWERS. OBSERVED NO ODORS AT THE TIME OF INSPECTION.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,,75.0,0.8,13.2,15.0,10.8,40.3,27149,30.0
5,DOECOMP35901,Air Pollution Work Order,"2250 E 130TH ST, CHICAGO, IL",Hegewisch,2250,,E,130TH,ST,82,03/30/2010,LAFARGE                             CALLER STATES THAT FACILITY HAS SOMETHING PILING UP ON THE TOWER AND IT LOOKS LIKE SAND. OBSERVED A SMALL PILE OF SAND AND A WORKER USING THE SAND TO MAINTAIN ONE OF THE COMPONENT OF THE SILO.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,,55.0,3.3,17.1,9.6,19.2,42.9,22677,44.0
6,DOECOMP2082,Air Pollution Work Order,"11801 S AVENUE O AVE, CHICAGO, IL",Hegewisch,11801,,S,AVENUE O,AVE,122,10/12/2010,RESIDENTIAL BLDG.                   DOING MASONRY WORK CUTTING BLOCKS NO TARP DUST ALL OVER THE AREA. NO EVIDENCE OF DUST ALSO NOTICE WORKERS USING WATER.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,,55.0,3.3,17.1,9.6,19.2,42.9,22677,44.0
7,DOECOMP1379,Air Pollution Work Order,"1111 W 16TH ST, CHICAGO, IL",Lower West Side,1111,,W,16TH,ST,22,01/29/2010,AUTO REPAIR SHOP                    IT APPEARS THAT THEY ARE RUNNING A AUTO REPAIR SHOP. 10 CARS IN DEPRESSED LOT AT REAR. THIS IS A ABANDONED HOME.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,,31.0,9.6,25.8,15.8,40.7,32.6,16444,76.0
8,DOECOMP34719,Air Pollution Work Order,"1113 W 18TH ST, CHICAGO, IL",Lower West Side,1113,,W,18TH,ST,120,07/06/2010,MMT DEMOLITION                      SANDING LEAD PAINT OFF FIRE ESCAPE CAUSING DUST ALL OVER THE AREA. FOUND SANDBLASTING WITHOUT PERMIT AND COMPRESSED SPRAY PAINTING OVER DOORS. RESPONDENT FAILED TO OBTAIN PERMIT PRIOR TO SANDBLATING FIRE ESCAPE ON MIXED USE BLDG.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,,31.0,9.6,25.8,15.8,40.7,32.6,16444,76.0
9,DOECOMP10425,Air Pollution Work Order,"2212 W 21ST PL, CHICAGO, IL",Lower West Side,2212,,W,21ST,PL,81,03/02/2010,RESIDENTIAL BLDG.                   MERCURY SPILL. RESPONDED UNABLE TO GAIN ENTRY OR INTERVIEW COMPLAINANT. LEFT SPILL SHEET INFO IN MAIL BOX TO CONTACT DOE IF NEEDED.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,,31.0,9.6,25.8,15.8,40.7,32.6,16444,76.0
